马上开学了！孩子什么时候能转学！！！,我属燕郊小柳小学划片学生家长，孩子一直在老家上学，受疫情影响，想把孩子转到燕郊开，眼看就要开学了，迟迟等不到转学通知，转学还不知道要办理什么手续，害怕孩子学习受影响！听说小学都做核酸检测，我也自费给孩子做了核酸检测！希望尽快给回复！！！！
马上开学了！什么时候孩子才能办理转学！,我属燕郊小柳小学划片学生家长，孩子一直在老家上学，受疫情影响，想把孩子转到燕郊开，眼看就要开学了，迟迟等不到转学通知，转学还不知道要办理什么手续，害怕孩子学习受影响！听说小学都做核酸检测，我也自费给孩子做了核酸检测！希望尽快给回复！！！！
马上开学了！什么时候能办理转学？,我属于山河市燕郊小柳小学划片学生家长，现在孩子在老家，想9月份转到小柳小学上学，眼看就要开学了！自己也给孩子自费做了核酸检测。可一直没有转学通知，迟迟不能办理转学！要开就开学了！害怕孩子不能及时转入，学习受影响！特此咨询！
孩子该在哪里上学,我们买的房子在三河市燕郊镇潮白生态城，对应的学校是诸葛店小学，教育局的文件上也是这么写的，但是我们报名的时候老师说教育局的官网上孩子是归他们学校的，但是学校系统查不到，所以孩子报不了名，不能在诸葛店小学上学，我想问问这是什么情况，怎么教育局官方文件我们符合条件，学校系统怎么就查询不了？
孩子该在哪里上学,我们买的房子在三河市燕郊镇潮白生态城，对应的学校是诸葛店小学，教育局的文件上也是这么写的，但是我们报名的时候老师说教育局的官网上孩子是归他们学校的，但是学校系统查不到，所以孩子报不了名，不能在诸葛店小学上学，我想问问这是什么情况，怎么教育局官方文件我们符合条件，学校系统怎么就查询不了？
中考后升高中,孩子北京学籍三河市燕郊户籍初中毕业怎样报三河高中
孩子幼升小报名,急求助，孩子幼升小报名时没有报名划片学校，会不会被报名的学校没通过，然后没报名的划片学校也上不了？
孩子幼升小报名,急求助，孩子幼升小报名没有报划片学校，该怎么办？会不会报名学校没有通过，然后划片学校没报名，结果划片学校也不能上了？
载重量小于2吨以下的轻型封闭货车/皮卡车有无具体的限行规定？,好多地方的货车限行标志针对的是中 重型的货车。不知政府针对的货车限行 是否有针对？还是限制所有的货车？外地货车临时过来，有何限行？
小区不让装地暖是否有法律法规,目前小区物业不让装地暖（在原有层面上铺设，不动地面），物业扬言要罚款，另外换窗户也明码标价罚款（一扇窗户100元，换窗户是因为旧窗户漏风，冬天关不严暖气都跑没了，另外换窗户也不会对于小区整体美观度造成任何影响，颜色和结构都没有差别）请问如何维权！
三河市教育局招生电话永远打不通,"不是有意占用公共资源。这个网上留的电话，真是牛，多天多次打从未打通，要么占线要么无人接听。确实,打的人多，可以理解。但是深究下，难道相关部门想不到会有很多家长打电话？在这种情况下只留1个电话，不打爆才怪呢。好吧。废话不多说， 我打电话需要咨询，网上报名系统里，幼儿户号没有，如何填写。之前填了一个户口本上的编号，但是咨询户籍人员了，那个不是户号。系统里还需要改吗？忽然发现，让广大人民群众表扬赞许其实很简单，就看咱们怎么做的了。"
滨河院滨河桥南大街乱摆摊,滨河院大街乱摆摊，严重影响车辆行人通行，小喇叭天亮就开始叫卖，一直到晚上九十点钟，既严重影响下夜班人员休息，又影响白天上网课的学生，上级检查时就有人管一管，平时根本就没人管，难道这种状况就一直持续下去了？
今天从三河市招生系统上报完名，查不到孩子的报名信息,你好，今天从三河市招生系统上报完名，查不到孩子的报名信息。我是输入孩子的身份证号和登记码，提交后，提示我 “经查询小学报名信息中没有该学生信息，请确认后再试”。我明明已经登记成功了，请问怎么回事？
新生儿落户,我和我父亲是北京集体户口，由于在北京没有住房，我的孩子无法跟随我落户北京，但是我家在三河有房子，我的母亲也在三河并有独立的户口本。这种情况是否可以落户三河?
食品经营许可证办理,食品经营许可管理办法中第四条一地一证原则是什么意思，同一经营地址只能办理一个食品经营许可证吗？
农村老人异地看病报销问题,你好！我是肖红英的女儿，肖红英已多年住在我家，由我照顾，现在已是94岁高龄，因居住在北京，一直以来看病都是自费的，咨询一下她的医保能否转到北京？需要办什么手续，盼望尽快得到回复，谢谢！
三河市人口管理大队落户亲属关系证明,"您好,我与母亲在一个户口本上,属于东北户口,我父亲单独在一个户口本上属于三河燕郊户口,我想走亲属投靠,我投靠我父亲,看所需材料上需要有亲属关系证明,询问了燕郊行政大厅,东城派出所,户籍所在地都不能开现在所需要的这个亲属关系证明.我父母有独生子女证,结婚证,母亲下有燕郊房产,我想咨询 独生子女证有父母和本人的身份正号,这个就可以证明父子关系了吧,不要在户籍所在地开的关系证明了吧,希望能帮我解决下这个问题."
请问燕郊镇半壁店村，代刘庄村规划,去年三月发了城中村改造通知书，请问一下具体怎么规划，上面有写征地，请问是本村整体搬迁吗，如果搬迁的话，现在还允许翻盖自家房屋吗？还有村里公寓问题，具体是什么政策？这两村城中村改造，具体怎么整改？会重新修村里的路吗？
北京公交893路是否满足恢复通车条件,领导您好，受疫情影响跨省公交停运，目前京津冀已全面下调防控等级，燕郊目前仅有818/815快/894恢复运行，燕郊北城通往潞城地铁站方向仍无公共交通开行，请问893路公交车是否符合恢复通车条件，能否增开一条线路方便复工复产
如何在燕郊落户,在燕郊有房，但是是商品房，想落户燕郊，要如何落户，或者给一个咨询电话
湖北恩施返回燕郊的接受问题咨询,我的对象是湖北恩施籍人，现在想要返回在四街村租住的房子，可是村委会不接收，该如何办理手续和隔离政策才能顺利返回燕郊？
关于近期听到说外地户口能够购买燕郊经济开发区房产的最新政策真伪的求证,近期看到当地产市场上，宣称外地户口可以购买燕郊本地房产的传闻，不知道到是真是假，请有关部门能否证实一下现在燕郊的限购政策到底是怎样规定的，谢谢。
测试,测试
现在是否可以恢复装修？,随着疫情好转，很多行业复工复产，请问现在可以进行装修了吗？
外省人租住一街村不给办理证明,外省租住一街村复工多日，去村委会办理14天未外出证明，人家不给办理，只给本地本村办理，人家让出但是不能回来！我从开始到现在除了买食物是一天没出，到现在复工了还是这样。
疫情期间租户怎么登记,麻烦问一下，在村里租房的，房东登记的时候给我对象登记了，没有给我登记马上就要上班了，能不能补登记，现在都不知道找谁，已经一个月没出去过了。。。。。。
公交线路恢复,"领导您好～
请问燕郊至北京的公交车什么时候可以全面恢复通车"
疫情期间，公共事业单位可否办理通行证,您好，我是北京热力员工，主要负责燕郊热力先关事宜，疫情期间居住的村内禁止出入，可否办理通行证方便出入。如果可以办理，具体流程是什么。
返汉工作事宜,您好，我想咨询一些事情，下面镇上一直没消息。3月中旬我需要回到武汉上班，不知道我这边需要办理什么手续吗？还是说直接去那边就行，不用跟村委会或者当地镇政府报备了啊
疫情期间关于三河人在京工作办理健康卡,我在城建新村居住，工作在北京市顺义区，现单位要求复工，可以开具复工证明，但是城建新村居委会坚持要求复工证明原件。我同事有河北邢台，保定，陕西西安的，均是使用复工证明的照片办理的，燕郊的同事也是拍照片，为什么城建新村居委会必须要原件，这时候没办法回京，拿不了原件，事情进入了死循环。我问一下，必须是原件才能办理吗？
为什么燕郊行政服务大厅的咨询电话打不通呢？,为什么燕郊行政服务大厅的咨询电话打不通呢？上午11点多打的，为什么就是打不通呢！0316-3325678就是这个服务电话
三河市消防局禁止地库安装新能源汽车充电桩,星河皓月小区物业公司不允许地下车库安装新能源汽车充电桩，理由是三河市消防局有规定，发现地库安装新能源汽车充电桩罚款30万元。请问：消防局规定的法律依据是什么？这个规定与国家发展新能源汽车的政策明显相悖，不知如何解释？
夏威夷南岸二期星罗城购物中心外置设备噪音扰民,您好，夏威夷南岸二期小区的星罗城购物中心外置设备，不知道是空调设备还是什么机器全天24小时发出噪音扰民。尤其是对9号楼、10号楼的住户居民造成严重影响。是否可以责令让其关停外置设备，或者选择其它没有居民楼的地方进行放置？
燕郊左堤路悦榕湾段何时能通车？,燕郊左堤路悦榕湾西南侧道路有一段被挖了一个20米见方的深坑，至少有一年了，没有人施工。导致燕顺路早晚高峰非常拥堵。请政府过问一下，督促相关单位尽快完成施工，恢复该路段的通车！
燕郊左堤路断路何时能通车？,燕郊左堤路悦榕湾西南侧，有一段路被挖了一个20米见方的坑，至少有一年了，也没有人施工，导致该路段无法通车，也导致燕郊早晚高峰燕顺路的道路拥堵。希望政府能过问一下，督促相关部门尽快修复该路段。谢谢！
房屋登记在我个人名下，二手房买卖，转让时的变更登记是否需要配偶到场？,房屋登记在我个人名下，二手房买卖，转让时的变更登记是否需要配偶到场？
我想问一下，为什么我家在青年新城的房子，不可以暖气报停，李福成不是被抓起来了吗，为什么还会这样。,我想问一下，为什么我家在青年新城的房子，不可以暖气报停，新闻上李福成不是被抓起来了吗，为什么还会这样。告诉我们说是集体供暖什么的，就想多收钱，为什么会有这样的情况
是否属于无证幼儿园,麻烦查询下燕郊镇汇福悦榕湾公寓入口东侧的慧凡梦想摇篮幼儿园是否属于无证幼儿园，该幼儿园停了一个月后在9月9日又从新开园了。
往届毕业生档案,您好，本人三河本地户籍，因研究生报名考试需要，现想查询个人档案存放处，想咨询人社局档案管理方面的相关科室电话。谢谢。
学校转学,您好，我小孩今年在天津上一年级。燕郊中美公寓有房子没有户口，我想把小孩明年转去上2年级，需要什么手续？
2020年小学入学,7月份教育局和体育局招生办透露2020年入学需要增加社保要求，我在燕郊买的二手房，目前政策上无法落户，夫妻双方目前都是北京社保，想我们这种有房无户籍、明见孩子上小学的情况也不在少数（周围就不少），我们这种情况明年孩子该怎么入学？2020年具体的招生政策什么时候能够出台？
有关三河齐心庄的规划,最近一直听说齐心庄附近要通地铁，而且还说齐心庄要有新的规划，也没有一个准确的消息，作为三河的老百姓，我们也有权知道城市的规划到底是什么，希望领导能够尽快将规划公布一下。
燕郊燕灵路方舟广场至鑫乐汇中间的道路修复问题,燕郊方舟广场至鑫乐汇中间的燕灵路路段多年处于破损坑洼，下雨就成河，多年没有组织成规模的修复过，最多也就是严重地方水泥打补丁。请回复此路段修复归哪一级别政府哪一部门管理，是否有确切的维修规划（如属于申请公开事项请告知）。神威北路和燕顺路道路比较平坦好走但是最近两三年年年都大规模维修而且每次维修都是少则三俩月多则半年是什么原因？希望对以上咨询给与明确回复，如不属于您部门管理或回复，请告知属于哪个部门管理及联系方式。
求三河市燕郊所有具有办园资质并通过教育局审核的幼儿园名录,近期给孩子选幼儿园，希望提供燕郊具有办园资质并通过教育局审核的幼儿园名录，三河市人民政府网站无法查询到
房屋所有权证办理事项,您好，我是黄金蓝湾小区的业主，小区交房到目前已经20个月，前两个月的时候通知我们上交办理房本的资料，到目前房本还没有下来，现在的时代什么都在提速，咱们为老百姓办事的政府部门的效率能不能提高一些呢？
农村道路修建问题,泃阳镇北城庄村的农村道路问题已经持续很多年，严重影响生活。道路不平，下雨积水，泥泞，十分不好走，导致外出打车很多司机不愿意开到村子里，周围很多村子的道路都已经修的很好，不知道北陈庄村的道路问题什么时候可以解决？
农村文娱活动补贴问题,农村开展广场舞的文娱活动，市里是否会有相应补贴，比如演出补贴，服装补贴等？村干部几次都是市里拨钱了，鼓励大家开展这些活动，但是却很少看见钱，请问怎么个情况。燕郊镇兴都村
城市房产确权 权籍 问题,三河市房产 土地使用证 房产证齐全  现需要过户 过户之前需要不动产权籍确权  确权需要自己找各部门或者邻居指四界  目前已经找到三界 剩下一边邻居是农机驾校楼  目前已经找过交通局  农机局 农业局  都不受理 告诉农机驾校已经倒闭  马上到不动产权籍约定指界的日子  可以农机驾校这边没有部门管理  请问现在我应该怎么办
咨询孩子上学,您好。我在燕郊有房产，但是户口是大厂县的。今天听说明年起，在燕郊上小学需要房产+2年社保。我想确认下消息的真实性。或者您可以提供教育局咨询电话，我自己咨询也可以。我感觉都是廊坊市行政区，只限制燕郊的户籍和社保，太局限性了。哪怕承认北三县户口都可以。
